id,time,x1,y1,z1,,,,,,,x2,y2,z2,,,,,,,x3,y3,z3,,,,,,,x4,y4,z4,,,,,,
15,0.125,-0.854482,1.619866,-2.317044,-0.773682,1.569687,-2.371411,1.517058,1.774058,-1.85021,-1.265206,1.64788,-1.05102,-1.34011,1.584569,-1.047911,1.522933,1.30681,-0.333157,1.446085,1.329189,-0.311991,1.522394,1.200661,-0.312437,1.534924,1.69592,-1.858664,1.465693,1.772834,-1.718923,-0.941908,1.547352,-2.428978,-1.288486,1.519914,-0.94728
16,0.133333,-0.855154,1.621423,-2.318228,-0.774248,1.570611,-2.371866,1.519438,1.773881,-1.85227,-1.26416,1.646806,-1.05236,-1.339044,1.583539,-1.04884,1.511437,1.286195,-0.340591,1.435327,1.310923,-0.319063,1.508717,1.180821,-0.316228,1.537334,1.695789,-1.860628,1.468295,1.773032,-1.720965,-0.941934,1.549372,-2.430774,-1.287726,1.5196,-0.947615
17,0.141667,-0.855641,1.62309,-2.319395,-0.774685,1.571584,-2.372236,1.52187,1.773907,-1.854288,-1.26303,1.645947,-1.053484,-1.337989,1.582585,-1.049787,1.498545,1.264329,-0.348159,1.423819,1.291894,-0.326019,1.493768,1.16006,-0.320072,1.539626,1.695739,-1.862598,1.471346,1.77334,-1.722814,-0.942218,1.551693,-2.432561,-1.286859,1.51946,-0.947883
18,0.15,-0.856122,1.624894,-2.32057,-0.775081,1.572519,-2.372524,1.524513,1.774013,-1.856185,-1.261847,1.645335,-1.054398,-1.336836,1.582098,-1.050416,1.484809,1.241845,-0.354973,1.411034,1.272066,-0.332495,1.477538,1.138587,-0.323565,1.542068,1.695769,-1.864658,1.474429,1.773655,-1.724578,-0.941897,1.55329,-2.434435,-1.285898,1.519472,-0.948075
19,0.158333,-0.856628,1.626621,-2.321854,-0.775316,1.57349,-2.372625,1.527118,1.774252,-1.858179,-1.260717,1.645023,-1.054943,-1.335507,1.5817,-1.050891,1.469747,1.218647,-0.361418,1.397261,1.251637,-0.338781,1.460014,1.116559,-0.326927,1.544426,1.696015,-1.866698,1.477853,1.773988,-1.726148,-0.941711,1.556073,-2.435771,-1.28485,1.519526,-0.948196
20,0.166667,-0.856749,1.628465,-2.323038,-0.77541,1.574418,-2.37269,1.529789,1.774697,-1.860174,-1.259581,1.64502,-1.055217,-1.334265,1.581528,-1.051179,1.453542,1.194837,-0.367413,1.382604,1.230853,-0.344441,1.440962,1.094094,-0.329941,1.546891,1.696395,-1.868828,1.48083,1.774277,-1.727981,-0.94139,1.557749,-2.438852,-1.2838,1.519651,-0.948283
21,0.175,-0.856845,1.630224,-2.324144,-0.775415,1.57535,-2.372807,1.532394,1.775146,-1.862237,-1.258442,1.645283,-1.055176,-1.332913,1.581631,-1.051329,1.435821,1.170501,-0.372983,1.36682,1.209562,-0.349792,1.42052,1.071275,-0.332837,1.549228,1.696809,-1.871041,1.483725,1.774661,-1.72995,-0.940847,1.55998,-2.439558,-1.282565,1.519806,-0.948318
22,0.183333,-0.856928,1.631762,-2.325295,-0.775286,1.576217,-2.372902,1.53503,1.775641,-1.864278,-1.2573,1.645742,-1.054911,-1.331482,1.581798,-1.051326,1.416844,1.145925,-0.378121,1.349561,1.187969,-0.354841,1.398496,1.0483,-0.335395,1.551631,1.697214,-1.873276,1.486172,1.775041,-1.732243,-0.940228,1.561579,-2.441435,-1.281213,1.519958,-0.948289
23,0.191667,-0.856768,1.633092,-2.326307,-0.775026,1.577075,-2.37308,1.537692,1.776253,-1.866394,-1.256182,1.646296,-1.054489,-1.330046,1.582004,-1.051276,1.396273,1.121009,-0.383238,1.331155,1.166213,-0.359717,1.374755,1.025159,-0.337778,1.553955,1.697787,-1.875577,1.489175,1.775658,-1.734144,-0.939229,1.563163,-2.442882,-1.279811,1.520113,-0.948318
24,0.2,-0.856352,1.634437,-2.32717,-0.774631,1.577881,-2.373324,1.540179,1.776854,-1.86872,-1.254827,1.646732,-1.053788,-1.328507,1.582326,-1.051099,1.374073,1.095796,-0.387764,1.311129,1.144324,-0.36457,1.349523,1.002142,-0.339851,1.556323,1.698377,-1.877937,1.491858,1.776243,-1.736662,-0.938645,1.564611,-2.44453,-1.278325,1.520237,-0.948305
25,0.208333,-0.855202,1.63611,-2.327908,-0.774038,1.57867,-2.373637,1.542783,1.777497,-1.871056,-1.253399,1.647292,-1.053113,-1.326848,1.582663,-1.05089,1.350257,1.070714,-0.392097,1.290113,1.122561,-0.368892,1.322255,0.979371,-0.341731,1.558512,1.698966,-1.88041,1.494307,1.776702,-1.738711,-0.937289,1.566012,-2.445643,-1.276827,1.520248,-0.948251
26,0.216667,-0.855149,1.636597,-2.328954,-0.77322,1.579503,-2.374037,1.545091,1.778253,-1.873443,-1.251862,1.64779,-1.052459,-1.325269,1.582949,-1.050744,1.324856,1.045829,-0.396146,1.267867,1.100951,-0.372671,1.293635,0.95695,-0.343184,1.560594,1.69964,-1.882992,1.496724,1.777352,-1.741096,-0.93667,1.566887,-2.446594,-1.275366,1.520305,-0.948092
27,0.225,-0.853694,1.637931,-2.329595,-0.772196,1.580314,-2.374496,1.547469,1.779016,-1.875928,-1.250263,1.648107,-1.051888,-1.323511,1.583268,-1.050559,1.297363,1.021402,-0.400264,1.244243,1.079665,-0.376099,1.26324,0.93506,-0.34461,1.562654,1.700421,-1.885629,1.49912,1.778006,-1.743548,-0.934939,1.567735,-2.447991,-1.273915,1.519679,-0.948252
28,0.233333,-0.852795,1.638748,-2.330537,-0.771029,1.581124,-2.375076,1.549679,1.779841,-1.878456,-1.248387,1.648291,-1.051401,-1.32175,1.583435,-1.050456,1.268492,0.997599,-0.403513,1.219223,1.059008,-0.37897,1.23115,0.914056,-0.345861,1.564492,1.701167,-1.888368,1.501425,1.778768,-1.746122,-0.933389,1.569032,-2.449222,-1.272467,1.519704,-0.948082
29,0.241667,-0.851588,1.639661,-2.331431,-0.769791,1.581818,-2.375674,1.551743,1.780597,-1.881123,-1.246581,1.648385,-1.050953,-1.319994,1.583682,-1.050402,1.238047,0.974869,-0.406326,1.19292,1.039108,-0.381482,1.197683,0.894122,-0.346461,1.566289,1.701933,-1.891202,1.50364,1.779579,-1.748671,-0.931962,1.569755,-2.450525,-1.270996,1.519816,-0.947777
30,0.25,-0.850903,1.640015,-2.33247,-0.768391,1.582595,-2.376162,1.553682,1.781476,-1.883841,-1.244498,1.64845,-1.050591,-1.318105,1.583905,-1.050332,1.206021,0.953138,-0.40877,1.165335,1.020061,-0.383442,1.163208,0.875459,-0.346546,1.567882,1.702735,-1.894053,1.505704,1.78038,-1.751329,-0.9304,1.570445,-2.451577,-1.269671,1.519947,-0.947461
31,0.258333,-0.848914,1.641073,-2.333112,-0.766702,1.583468,-2.376587,1.555544,1.782439,-1.886509,-1.242513,1.64835,-1.050248,-1.316253,1.584018,-1.050302,1.172483,0.932466,-0.41077,1.136437,1.001923,-0.385055,1.127439,0.858231,-0.34625,1.569354,1.703666,-1.896911,1.507668,1.78125,-1.754019,-0.928209,1.570686,-2.452465,-1.268358,1.520099,-0.947059
32,0.266667,-0.847595,1.641615,-2.334023,-0.764991,1.584234,-2.377247,1.557384,1.783298,-1.889289,-1.24038,1.64833,-1.049846,-1.314451,1.583793,-1.050147,1.137704,0.913438,-0.412251,1.106384,0.984891,-0.386498,1.090886,0.842436,-0.345201,1.57069,1.704403,-1.89991,1.50954,1.782091,-1.75674,-0.926811,1.571353,-2.453689,-1.267068,1.520212,-0.946649
33,0.275,-0.846038,1.642306,-2.335025,-0.763118,1.585052,-2.377716,1.558948,1.784287,-1.892049,-1.238322,1.648184,-1.049476,-1.312506,1.583906,-1.050003,1.101405,0.895783,-0.413517,1.075049,0.969033,-0.387678,1.053468,0.828301,-0.343626,1.57187,1.705257,-1.902855,1.511271,1.782916,-1.759449,-0.924169,1.571694,-2.454921,-1.26573,1.520298,-0.946235
