id,time,x1,y1,z1,,,,,,,x2,y2,z2,,,,,,,x3,y3,z3,,,,,,,x4,y4,z4,,,,,,
395,3.291667,1.419284,1.61141,-1.157153,1.387132,1.509561,-1.170905,2.50547,1.777904,-0.046793,-0.956443,1.584538,-0.772351,-1.024115,1.51471,-0.784275,1.291976,2.64725,1.14595,1.353804,2.605332,1.181849,1.205521,2.613045,1.200849,2.502005,1.697626,-0.055289,2.472775,1.789356,0.089627,1.28857,1.638071,-1.244402,-1.041151,1.502474,-0.655387
396,3.3,1.424814,1.609465,-1.150142,1.392474,1.507632,-1.164165,2.506245,1.780082,-0.037346,-0.953794,1.585241,-0.765174,-1.020524,1.514398,-0.776616,1.29619,2.647892,1.154738,1.356673,2.606408,1.193178,1.207755,2.612503,1.205661,2.502756,1.69969,-0.045975,2.473101,1.791365,0.098949,1.294486,1.636564,-1.23785,-1.036863,1.502429,-0.647593
397,3.308333,1.430348,1.607489,-1.143208,1.397982,1.505687,-1.157453,2.506706,1.78188,-0.028288,-0.950987,1.585838,-0.757777,-1.016745,1.514102,-0.768634,1.298885,2.649431,1.164644,1.358467,2.608357,1.204784,1.209123,2.612247,1.211783,2.50323,1.70147,-0.036762,2.473472,1.793335,0.108034,1.300493,1.634967,-1.231417,-1.032272,1.502319,-0.639515
398,3.316667,1.435926,1.605674,-1.13637,1.403274,1.504102,-1.150916,2.506741,1.783573,-0.019434,-0.947921,1.586296,-0.750172,-1.012933,1.513823,-0.760711,1.299654,2.651731,1.175518,1.359024,2.610822,1.216318,1.209509,2.611913,1.219629,2.503519,1.703077,-0.027599,2.473779,1.795367,0.116946,1.306396,1.63351,-1.225057,-1.028085,1.501915,-0.631499
399,3.325,1.441466,1.604054,-1.129695,1.408988,1.502391,-1.144378,2.506725,1.784971,-0.010568,-0.94461,1.586792,-0.742236,-1.009184,1.513732,-0.752859,1.298556,2.654175,1.186803,1.358331,2.613447,1.227299,1.208763,2.611635,1.229069,2.503563,1.704501,-0.018527,2.474143,1.797219,0.125781,1.312267,1.632083,-1.218727,-1.023863,1.501568,-0.623476
400,3.333333,1.447171,1.60261,-1.123234,1.414697,1.500929,-1.137964,2.506592,1.786121,-0.001926,-0.94122,1.587104,-0.734181,-1.005288,1.51369,-0.74461,1.29592,2.656248,1.197954,1.356584,2.615769,1.237437,1.207077,2.61131,1.23975,2.503629,1.705634,-0.009438,2.474426,1.798921,0.134501,1.318342,1.630616,-1.212555,-1.019724,1.501188,-0.615354
401,3.341667,1.452814,1.601394,-1.116825,1.420512,1.499599,-1.131794,2.506455,1.787078,0.006747,-0.937798,1.587184,-0.725987,-1.001688,1.513766,-0.736488,1.292221,2.657563,1.208523,1.35412,2.617838,1.24682,1.204723,2.610811,1.251433,2.503627,1.706586,-0.000382,2.474742,1.800478,0.143289,1.323962,1.629315,-1.206292,-1.015556,1.500688,-0.607205
402,3.35,1.458618,1.600196,-1.11058,1.42638,1.498422,-1.125561,2.506352,1.78792,0.015598,-0.934367,1.587405,-0.717806,-0.99816,1.513856,-0.728291,1.288098,2.657989,1.218501,1.35116,2.6185,1.254718,1.202059,2.610313,1.263542,2.503674,1.707356,0.008679,2.474903,1.801713,0.152033,1.329975,1.628019,-1.20033,-1.011331,1.500386,-0.598888
403,3.358333,1.464428,1.599192,-1.104447,1.432359,1.49741,-1.119474,2.506242,1.788601,0.024436,-0.930923,1.587461,-0.70973,-0.994707,1.513779,-0.719888,1.283585,2.657537,1.227696,1.348072,2.618785,1.262226,1.199416,2.610027,1.276063,2.503803,1.708003,0.017714,2.474833,1.802603,0.160921,1.335789,1.626842,-1.194283,-1.007155,1.500034,-0.590588
404,3.366667,1.470312,1.598205,-1.098456,1.438197,1.49655,-1.113334,2.506317,1.789009,0.033382,-0.927452,1.587488,-0.701479,-0.991306,1.513966,-0.711624,1.279588,2.65651,1.236491,1.3449,2.618046,1.269125,1.196819,2.609824,1.288536,2.504071,1.708537,0.026853,2.474732,1.803197,0.169852,1.341848,1.625877,-1.18861,-1.002947,1.49961,-0.582179
405,3.375,1.476321,1.597349,-1.092561,1.444137,1.495669,-1.107342,2.506409,1.789477,0.042563,-0.923986,1.587658,-0.693061,-0.987951,1.51409,-0.703278,1.275256,2.654753,1.244677,1.341882,2.616557,1.275652,1.194491,2.609911,1.301043,2.504267,1.708891,0.035912,2.474431,1.803473,0.178872,1.348322,1.624969,-1.183203,-0.99873,1.499138,-0.573897
406,3.383333,1.482371,1.596589,-1.086952,1.449902,1.495,-1.101283,2.506564,1.789651,0.05161,-0.92058,1.58794,-0.684427,-0.984634,1.514481,-0.694719,1.271356,2.653122,1.252948,1.338751,2.614927,1.282172,1.192444,2.610228,1.313305,2.504559,1.709063,0.044913,2.474163,1.803444,0.187915,1.354673,1.624298,-1.177966,-0.994575,1.498592,-0.565482
407,3.391667,1.488533,1.595955,-1.081413,1.455599,1.494427,-1.095257,2.50678,1.789611,0.060877,-0.917204,1.588282,-0.675684,-0.981553,1.51475,-0.686365,1.267174,2.651332,1.26115,1.335632,2.613216,1.28877,1.190514,2.610787,1.325504,2.504722,1.709082,0.053871,2.473938,1.80315,0.196905,1.360878,1.623718,-1.172769,-0.990598,1.497917,-0.557088
408,3.4,1.49472,1.59546,-1.075986,1.461539,1.49402,-1.089144,2.506901,1.789398,0.069985,-0.91382,1.588636,-0.666693,-0.977807,1.515327,-0.677983,1.264186,2.65035,1.269552,1.332497,2.611596,1.29539,1.188768,2.611521,1.337501,2.50471,1.708888,0.062685,2.473683,1.802601,0.20593,1.367596,1.623013,-1.167868,-0.986808,1.497012,-0.548835
409,3.408333,1.501052,1.594934,-1.070626,1.467373,1.4936,-1.083244,2.506986,1.788925,0.078976,-0.910428,1.589217,-0.657429,-0.97408,1.515763,-0.669524,1.260561,2.649221,1.278305,1.329414,2.610178,1.302284,1.187247,2.612284,1.349329,2.504716,1.708425,0.071445,2.473379,1.80174,0.214976,1.374082,1.622472,-1.162685,-0.983167,1.49629,-0.540597
410,3.416667,1.507406,1.594455,-1.065188,1.473546,1.493138,-1.077376,2.506974,1.788274,0.088049,-0.906955,1.589982,-0.647771,-0.970223,1.516183,-0.660972,1.257091,2.648389,1.286981,1.326305,2.608951,1.309265,1.185796,2.613211,1.361061,2.504532,1.707821,0.080135,2.473046,1.80057,0.223893,1.380481,1.621917,-1.157378,-0.97952,1.495273,-0.532313
411,3.425,1.513874,1.593893,-1.059603,1.47974,1.492701,-1.071661,2.506806,1.787516,0.096863,-0.903196,1.590954,-0.637868,-0.966121,1.516864,-0.652485,1.253811,2.647724,1.295754,1.323193,2.607724,1.316219,1.184461,2.614213,1.372456,2.50418,1.707047,0.088694,2.472525,1.799318,0.232766,1.387258,1.621513,-1.152119,-0.976169,1.494196,-0.524085
412,3.433333,1.520408,1.593217,-1.054072,1.485956,1.492288,-1.065892,2.50656,1.786371,0.10558,-0.899018,1.591816,-0.627257,-0.96197,1.517838,-0.64388,1.25057,2.647013,1.304253,1.320129,2.606506,1.323183,1.183262,2.615266,1.383355,2.503978,1.705925,0.097157,2.471918,1.797818,0.241398,1.393772,1.621272,-1.146584,-0.972984,1.492679,-0.516122
413,3.441667,1.527145,1.592521,-1.0484,1.492161,1.491842,-1.060224,2.506191,1.78509,0.114161,-0.895433,1.59303,-0.616175,-0.957622,1.519225,-0.635386,1.247528,2.646136,1.312428,1.31708,2.605025,1.330048,1.182013,2.616229,1.393707,2.50359,1.704615,0.10553,2.471122,1.796232,0.24984,1.400908,1.621165,-1.141162,-0.97018,1.491078,-0.508257
414,3.45,1.533857,1.591752,-1.042778,1.498389,1.491369,-1.054798,2.505532,1.783444,0.122429,-0.891628,1.594316,-0.604837,-0.953259,1.520727,-0.626961,1.24397,2.644913,1.319937,1.314019,2.603289,1.336735,1.180744,2.61715,1.403494,2.503024,1.703223,0.113827,2.470167,1.794547,0.258176,1.407771,1.621222,-1.135539,-0.967585,1.48939,-0.500628
415,3.458333,1.540758,1.59112,-1.037275,1.504992,1.490714,-1.049952,2.504738,1.781818,0.130668,-0.887916,1.595629,-0.593163,-0.948879,1.522501,-0.618252,1.241032,2.643324,1.32719,1.310902,2.601403,1.343308,1.179307,2.61784,1.412751,2.502444,1.701556,0.122006,2.469068,1.792768,0.266356,1.414837,1.621498,-1.129804,-0.965222,1.487055,-0.493698
416,3.466667,1.54774,1.590544,-1.031818,1.511696,1.490072,-1.045605,2.503857,1.779921,0.138817,-0.884477,1.596976,-0.581335,-0.944523,1.524178,-0.609881,1.238028,2.641412,1.334299,1.30776,2.599251,1.349766,1.177976,2.618449,1.421701,2.501808,1.699732,0.130195,2.467804,1.790946,0.274352,1.42175,1.622061,-1.124065,-0.9628,1.485246,-0.48648
417,3.475,1.554807,1.590272,-1.026569,1.518378,1.48976,-1.040967,2.50281,1.778049,0.146792,-0.881267,1.598041,-0.569673,-0.940467,1.525821,-0.601157,1.235016,2.639048,1.341312,1.304694,2.597105,1.356387,1.176459,2.618843,1.430402,2.501089,1.697751,0.138324,2.466507,1.789164,0.282311,1.428701,1.62274,-1.118244,-0.960473,1.483539,-0.479132
418,3.483333,1.561857,1.590353,-1.021349,1.525265,1.490185,-1.036168,2.501653,1.776103,0.154814,-0.878394,1.598137,-0.559427,-0.937386,1.526185,-0.592288,1.231888,2.637114,1.348485,1.301583,2.595039,1.36285,1.174784,2.619023,1.438782,2.50012,1.695862,0.146411,2.465123,1.787339,0.290217,1.435572,1.623716,-1.112495,-0.957956,1.482334,-0.471017
419,3.491667,1.569019,1.590721,-1.016282,1.531989,1.490585,-1.031433,2.500314,1.774135,0.162772,-0.87578,1.597329,-0.55135,-0.934884,1.525418,-0.583661,1.228761,2.635257,1.35567,1.298503,2.593235,1.36979,1.173202,2.619283,1.44733,2.499209,1.693959,0.154434,2.463651,1.785555,0.298088,1.442511,1.624842,-1.106856,-0.955238,1.482033,-0.462193
420,3.5,1.576102,1.591408,-1.011455,1.539023,1.491542,-1.026877,2.498733,1.772289,0.170592,-0.873153,1.596183,-0.544372,-0.932653,1.52392,-0.575488,1.225565,2.633676,1.363239,1.295435,2.591635,1.376877,1.171518,2.619466,1.456093,2.497891,1.692068,0.162382,2.462205,1.783786,0.305991,1.449372,1.626247,-1.101356,-0.952619,1.482193,-0.453337
421,3.508333,1.583182,1.592527,-1.006725,1.545527,1.493068,-1.021779,2.497015,1.770537,0.178441,-0.870812,1.595043,-0.537605,-0.930413,1.52231,-0.567324,1.222468,2.632488,1.371131,1.292423,2.590441,1.384217,1.16995,2.619653,1.464993,2.496394,1.690253,0.170339,2.460753,1.781981,0.313905,1.456158,1.627794,-1.096068,-0.950234,1.482431,-0.444601
422,3.516667,1.590313,1.593965,-1.002188,1.552594,1.494244,-1.017608,2.495147,1.768806,0.186216,-0.868485,1.593939,-0.530606,-0.92809,1.520725,-0.559386,1.219361,2.631691,1.379305,1.289379,2.589522,1.39179,1.16819,2.619971,1.474075,2.49477,1.688546,0.178227,2.45919,1.780329,0.321793,1.46291,1.629499,-1.091078,-0.947864,1.482723,-0.435982
423,3.525,1.597306,1.59567,-0.997897,1.559416,1.496139,-1.012977,2.493121,1.767457,0.193986,-0.865893,1.592664,-0.523533,-0.925794,1.519372,-0.551319,1.216351,2.631243,1.387788,1.286613,2.589104,1.399758,1.166408,2.620486,1.483334,2.493074,1.687113,0.186051,2.457474,1.778789,0.329675,1.46975,1.631339,-1.086384,-0.945781,1.483012,-0.427379
424,3.533333,1.604245,1.597712,-0.993751,1.565651,1.498401,-1.007724,2.490873,1.766341,0.20187,-0.863108,1.591313,-0.515962,-0.92339,1.518133,-0.543153,1.213305,2.631115,1.396439,1.283535,2.588757,1.407699,1.164643,2.620991,1.492728,2.491052,1.685976,0.193874,2.455496,1.77744,0.337644,1.476475,1.633237,-1.081904,-0.943899,1.483024,-0.419098
425,3.541667,1.611091,1.599985,-0.989833,1.572139,1.500614,-1.002911,2.488449,1.765412,0.20972,-0.860068,1.589767,-0.508072,-0.92069,1.517047,-0.535031,1.210218,2.631216,1.40538,1.280379,2.588456,1.415809,1.162814,2.621508,1.502293,2.48886,1.685091,0.201687,2.453016,1.776333,0.345626,1.483064,1.635197,-1.07777,-0.941807,1.483348,-0.410363
426,3.55,1.617843,1.602419,-0.986135,1.578829,1.502794,-0.998412,2.485727,1.764729,0.21787,-0.856887,1.58832,-0.499958,-0.917907,1.515949,-0.527087,1.206953,2.631343,1.414441,1.276716,2.587831,1.42364,1.161183,2.622347,1.51229,2.486565,1.684442,0.209762,2.449985,1.775443,0.353632,1.489546,1.637142,-1.073811,-0.940438,1.483359,-0.402126
427,3.558333,1.624529,1.604933,-0.982455,1.584657,1.505623,-0.99301,2.482707,1.764534,0.226181,-0.853658,1.586851,-0.49167,-0.914714,1.514862,-0.518678,1.203553,2.631432,1.423634,1.273471,2.587956,1.43215,1.159204,2.622755,1.522017,2.484179,1.684232,0.218017,2.446257,1.774865,0.361704,1.4959,1.63897,-1.069976,-0.939351,1.483187,-0.394118
428,3.566667,1.630999,1.607465,-0.978765,1.590732,1.50809,-0.987644,2.479469,1.764587,0.234589,-0.850566,1.585518,-0.483304,-0.912072,1.513845,-0.510679,1.199842,2.631343,1.432716,1.269788,2.587521,1.440073,1.157584,2.623496,1.532331,2.482202,1.684239,0.226596,2.441721,1.77454,0.369921,1.502078,1.64083,-1.066157,-0.93798,1.483008,-0.386058
429,3.575,1.637347,1.609999,-0.975041,1.597142,1.510574,-0.982704,2.475897,1.765015,0.243253,-0.847655,1.584147,-0.475089,-0.909497,1.51277,-0.502705,1.196223,2.631322,1.442071,1.265752,2.586719,1.448042,1.155781,2.624205,1.54239,2.479805,1.684761,0.235285,2.436733,1.774483,0.378167,1.50816,1.642556,-1.062322,-0.936849,1.482772,-0.378369
430,3.583333,1.643434,1.61244,-0.971134,1.603217,1.512923,-0.977764,2.471777,1.765772,0.251889,-0.845164,1.583042,-0.466913,-0.907044,1.511936,-0.494869,1.192522,2.631125,1.451234,1.261892,2.586218,1.455889,1.154026,2.624784,1.552382,2.477545,1.685573,0.244152,2.43138,1.77466,0.386484,1.514054,1.644205,-1.058324,-0.935597,1.482259,-0.370734
431,3.591667,1.649411,1.614807,-0.966974,1.609214,1.515292,-0.972727,2.467258,1.766922,0.260554,-0.842801,1.581913,-0.458912,-0.90477,1.511226,-0.487313,1.188916,2.630918,1.460343,1.257998,2.585307,1.463908,1.152214,2.625328,1.562228,2.474674,1.686886,0.252923,2.425922,1.77514,0.394872,1.519807,1.645832,-1.054099,-0.934245,1.481561,-0.36335
432,3.6,1.655174,1.617028,-0.962699,1.615067,1.517413,-0.967818,2.462371,1.768292,0.269084,-0.840649,1.581078,-0.451071,-0.90276,1.510566,-0.479935,1.185354,2.630415,1.468968,1.254081,2.584517,1.471962,1.150426,2.625819,1.571852,2.47153,1.68851,0.26168,2.420592,1.775914,0.403361,1.525372,1.647449,-1.049731,-0.932952,1.48069,-0.356147
433,3.608333,1.660847,1.619179,-0.958189,1.620908,1.519429,-0.962894,2.457289,1.769909,0.277563,-0.838702,1.580186,-0.443503,-0.900779,1.509974,-0.472771,1.181694,2.629839,1.477785,1.250265,2.583549,1.479948,1.148475,2.626212,1.581254,2.468189,1.690366,0.270314,2.415609,1.776995,0.41187,1.530737,1.649021,-1.045129,-0.931522,1.479906,-0.349105
434,3.616667,1.666342,1.621155,-0.953527,1.626669,1.521316,-0.957963,2.452313,1.771786,0.285958,-0.836552,1.579177,-0.435693,-0.89898,1.509274,-0.465662,1.178046,2.629128,1.486352,1.246392,2.582488,1.487839,1.146465,2.626523,1.590318,2.464822,1.692742,0.278946,2.41124,1.778326,0.420484,1.536101,1.650396,-1.04041,-0.930288,1.479135,-0.342262
435,3.625,1.671683,1.623047,-0.948715,1.632467,1.523066,-0.953077,2.447611,1.773737,0.294294,-0.834497,1.578309,-0.428647,-0.897068,1.508839,-0.458753,1.174366,2.628218,1.494649,1.242515,2.581386,1.495675,1.144299,2.626779,1.599391,2.461331,1.694869,0.28729,2.40743,1.780034,0.429072,1.541334,1.651679,-1.035442,-0.929096,1.478547,-0.335474
436,3.633333,1.676943,1.624778,-0.943765,1.6383,1.524611,-0.94822,2.443242,1.77591,0.302475,-0.832343,1.577136,-0.421515,-0.895199,1.50824,-0.452009,1.170657,2.627225,1.50294,1.238688,2.580159,1.503456,1.141856,2.626711,1.608051,2.457906,1.697145,0.29549,2.404414,1.782024,0.437714,1.546406,1.652815,-1.030405,-0.928138,1.478043,-0.329053
437,3.641667,1.682284,1.626368,-0.938707,1.644112,1.525911,-0.9433,2.439219,1.778317,0.310584,-0.830379,1.576353,-0.414502,-0.893529,1.507611,-0.445504,1.166772,2.62611,1.511162,1.234747,2.578932,1.511256,1.139261,2.62646,1.616598,2.454451,1.699617,0.303551,2.402116,1.784293,0.446327,1.551485,1.653799,-1.025252,-0.927299,1.477534,-0.322707
438,3.65,1.687545,1.627737,-0.933675,1.65012,1.526904,-0.938786,2.435633,1.780833,0.318669,-0.828674,1.575614,-0.407647,-0.891692,1.507134,-0.43911,1.162713,2.62494,1.519306,1.230684,2.577718,1.518998,1.136435,2.625965,1.625136,2.451033,1.702187,0.311512,2.400345,1.78689,0.454873,1.556535,1.654545,-1.019972,-0.926617,1.477203,-0.316562
439,3.658333,1.692954,1.628932,-0.928487,1.655986,1.527886,-0.933661,2.432486,1.783427,0.326798,-0.826925,1.575087,-0.400648,-0.889818,1.50674,-0.432979,1.158408,2.623651,1.527542,1.226424,2.576509,1.526697,1.133272,2.625213,1.633649,2.447929,1.704816,0.319581,2.398824,1.789655,0.463413,1.561564,1.655178,-1.014465,-0.926128,1.477054,-0.310782
440,3.666667,1.698424,1.629826,-0.923197,1.661972,1.528448,-0.928602,2.429973,1.786182,0.335053,-0.825434,1.574584,-0.394306,-0.888091,1.506207,-0.426857,1.153763,2.622241,1.535914,1.221917,2.575326,1.534479,1.129928,2.624156,1.64227,2.445228,1.707522,0.327815,2.397422,1.792519,0.471961,1.566792,1.655622,-1.008908,-0.925704,1.476934,-0.305012
441,3.675,1.703921,1.630392,-0.917734,1.667852,1.529136,-0.923237,2.428127,1.789089,0.343579,-0.82396,1.574002,-0.387787,-0.886548,1.505879,-0.420771,1.148854,2.620748,1.544393,1.217238,2.574164,1.542294,1.126289,2.622755,1.650995,2.443179,1.710429,0.336184,2.395961,1.795385,0.480508,1.572093,1.655929,-1.003254,-0.925453,1.47705,-0.299254
442,3.683333,1.709579,1.63072,-0.91209,1.673744,1.529317,-0.917837,2.426933,1.792165,0.352263,-0.822298,1.573245,-0.381304,-0.885002,1.505422,-0.414935,1.143654,2.619028,1.55304,1.212376,2.573102,1.550119,1.122366,2.621093,1.659961,2.441689,1.713438,0.344685,2.394327,1.798287,0.489082,1.577493,1.656048,-0.997302,-0.925428,1.477266,-0.293667
443,3.691667,1.715213,1.630707,-0.906233,1.679756,1.529233,-0.912377,2.426311,1.795358,0.361239,-0.820383,1.572227,-0.374815,-0.883335,1.504844,-0.409089,1.13818,2.617323,1.561865,1.20738,2.57205,1.558004,1.118318,2.619154,1.669061,2.440649,1.716639,0.35339,2.392665,1.801014,0.497804,1.583118,1.656018,-0.991544,-0.925586,1.477695,-0.288298
444,3.7,1.72102,1.63038,-0.900286,1.685571,1.528899,-0.906741,2.426202,1.798776,0.37039,-0.818438,1.570995,-0.368779,-0.881789,1.50409,-0.403253,1.132592,2.615592,1.570827,1.202195,2.571192,1.566019,1.114031,2.616932,1.678228,2.440156,1.719944,0.36222,2.390995,1.803661,0.506635,1.588997,1.65589,-0.985528,-0.925864,1.478479,-0.282931
445,3.708333,1.72687,1.629761,-0.894264,1.691477,1.528234,-0.901026,2.426522,1.802237,0.379768,-0.816351,1.569222,-0.363062,-0.880313,1.503102,-0.397636,1.126912,2.613868,1.579853,1.196989,2.570385,1.574043,1.109625,2.61459,1.68752,2.439951,1.723401,0.371023,2.389378,1.80614,0.515473,1.594967,1.655635,-0.979597,-0.926121,1.479168,-0.277601
446,3.716667,1.732867,1.628979,-0.888161,1.697197,1.527416,-0.895244,2.42715,1.805745,0.38928,-0.814441,1.567366,-0.357561,-0.879091,1.501766,-0.391869,1.121183,2.61227,1.588999,1.191772,2.569625,1.582114,1.105154,2.612138,1.69686,2.439957,1.726821,0.37983,2.387952,1.808525,0.524399,1.601106,1.655209,-0.973555,-0.926604,1.479962,-0.272047
447,3.725,1.738837,1.628005,-0.882054,1.702954,1.526708,-0.889189,2.427908,1.809139,0.398766,-0.812458,1.565387,-0.352001,-0.877753,1.500357,-0.386123,1.115472,2.610675,1.598197,1.186393,2.569094,1.589933,1.100654,2.609558,1.70625,2.440099,1.730238,0.388604,2.386762,1.810752,0.533312,1.607197,1.654708,-0.96752,-0.926903,1.480618,-0.266661
448,3.733333,1.744865,1.62699,-0.87583,1.708746,1.525735,-0.883215,2.428837,1.812495,0.408225,-0.810443,1.563354,-0.34647,-0.876376,1.499007,-0.380643,1.109747,2.609164,1.607399,1.181032,2.568491,1.597988,1.096177,2.607041,1.715634,2.440412,1.733565,0.397273,2.385839,1.812924,0.542242,1.613358,1.654084,-0.961363,-0.927311,1.481527,-0.261625
449,3.741667,1.750876,1.62585,-0.869561,1.714495,1.524756,-0.876945,2.429724,1.815678,0.417578,-0.808316,1.561273,-0.340947,-0.875054,1.497896,-0.375528,1.104039,2.607602,1.616563,1.175654,2.567831,1.605955,1.091874,2.604526,1.724889,2.440758,1.736775,0.405881,2.385216,1.814989,0.551062,1.619378,1.653462,-0.955125,-0.927836,1.482345,-0.257101
450,3.75,1.756886,1.624772,-0.863261,1.720296,1.523791,-0.870738,2.430541,1.818754,0.426763,-0.806127,1.559202,-0.335261,-0.873937,1.497114,-0.370661,1.09851,2.606118,1.625776,1.170308,2.566972,1.613834,1.087713,2.602132,1.734061,2.441045,1.739842,0.414329,2.384866,1.817,0.559885,1.625496,1.652654,-0.948815,-0.928273,1.483265,-0.25282
451,3.758333,1.762767,1.623751,-0.856885,1.726124,1.522743,-0.86439,2.431297,1.821708,0.435788,-0.804318,1.557397,-0.330576,-0.873155,1.49665,-0.366109,1.092966,2.604403,1.634498,1.165116,2.566212,1.621699,1.083681,2.599921,1.743085,2.441334,1.742831,0.422627,2.384876,1.818911,0.568594,1.631357,1.651817,-0.942298,-0.928694,1.484102,-0.24858
452,3.766667,1.768725,1.622643,-0.850292,1.731958,1.521762,-0.857944,2.432099,1.824364,0.444727,-0.802797,1.555943,-0.326293,-0.872686,1.496315,-0.361714,1.087749,2.602665,1.643177,1.160034,2.565081,1.629226,1.079821,2.597869,1.751742,2.44156,1.745518,0.430812,2.385218,1.820816,0.577289,1.637326,1.65087,-0.935771,-0.928731,1.485059,-0.244242
453,3.775,1.774535,1.621534,-0.84371,1.737621,1.520727,-0.851095,2.43293,1.826856,0.453459,-0.801533,1.554427,-0.322122,-0.872456,1.495968,-0.357356,1.082851,2.600953,1.651329,1.155203,2.563723,1.636549,1.076241,2.596036,1.760001,2.441762,1.748011,0.438892,2.385755,1.822563,0.585964,1.643046,1.64991,-0.92897,-0.928703,1.486228,-0.239954
454,3.783333,1.780339,1.620308,-0.836814,1.743407,1.51955,-0.844494,2.433754,1.829107,0.462246,-0.800497,1.552979,-0.318495,-0.872071,1.495723,-0.353319,1.078372,2.599264,1.658937,1.150682,2.562178,1.643615,1.072763,2.59446,1.767793,2.441948,1.750335,0.446954,2.386338,1.824183,0.59461,1.648839,1.6488,-0.922153,-0.928502,1.487454,-0.235598
455,3.791667,1.786144,1.618993,-0.829938,1.749469,1.518002,-0.838294,2.434738,1.83129,0.470977,-0.799503,1.552278,-0.315045,-0.871817,1.495082,-0.349156,1.074371,2.597484,1.666098,1.146697,2.560469,1.650431,1.069352,2.593018,1.774854,2.442325,1.752513,0.455148,2.386862,1.825618,0.603124,1.654803,1.647694,-0.915294,-0.92827,1.488649,-0.23145
456,3.8,1.791923,1.617636,-0.822844,1.755277,1.516803,-0.831457,2.435904,1.83332,0.479748,-0.798792,1.55143,-0.311917,-0.871699,1.49432,-0.345076,1.070624,2.595754,1.672466,1.142986,2.558632,1.656908,1.065906,2.591818,1.781387,2.442874,1.754587,0.463238,2.387264,1.826797,0.611567,1.660699,1.646617,-0.90823,-0.927905,1.489774,-0.227369
457,3.808333,1.797748,1.616125,-0.81578,1.760963,1.51541,-0.824593,2.437245,1.835119,0.488566,-0.798366,1.550882,-0.308845,-0.871505,1.493952,-0.341281,1.067196,2.593865,1.678468,1.139522,2.556774,1.663191,1.062252,2.590773,1.787323,2.44382,1.756475,0.47138,2.38751,1.827824,0.62,1.666592,1.64548,-0.901332,-0.927468,1.490682,-0.223344
458,3.816667,1.803548,1.61472,-0.808504,1.766689,1.513993,-0.817663,2.438817,1.836805,0.497368,-0.797883,1.550465,-0.305624,-0.871423,1.493803,-0.337699,1.06376,2.591983,1.683918,1.136269,2.554931,1.66915,1.058555,2.589797,1.792789,2.444821,1.758271,0.479577,2.387713,1.828635,0.628276,1.672632,1.644371,-0.894312,-0.926944,1.491382,-0.21958
459,3.825,1.809269,1.613261,-0.801335,1.772287,1.512704,-0.810605,2.440367,1.838226,0.506205,-0.797304,1.550597,-0.302166,-0.871005,1.494327,-0.334337,1.060421,2.590173,1.689029,1.133131,2.553179,1.675005,1.054837,2.588929,1.797927,2.446001,1.759773,0.487788,2.387761,1.829341,0.636398,1.67853,1.643251,-0.887277,-0.926526,1.491795,-0.216156
460,3.833333,1.814959,1.611967,-0.794098,1.77763,1.5115,-0.803355,2.442198,1.839411,0.515086,-0.796595,1.550784,-0.298454,-0.870607,1.495255,-0.33113,1.05718,2.58865,1.694257,1.12989,2.5517,1.680676,1.05102,2.588172,1.80301,2.447257,1.761124,0.495924,2.387842,1.829839,0.644498,1.684503,1.642192,-0.880347,-0.926153,1.492134,-0.212871
461,3.841667,1.820677,1.610744,-0.786913,1.783565,1.510421,-0.796621,2.444023,1.840373,0.523858,-0.795808,1.550955,-0.294928,-0.870432,1.495915,-0.327676,1.053697,2.587365,1.699357,1.12657,2.550589,1.68621,1.047197,2.587464,1.808092,2.448585,1.762202,0.504046,2.387814,1.830203,0.652446,1.690339,1.641171,-0.873384,-0.926014,1.492711,-0.209661
462,3.85,1.826298,1.609771,-0.779758,1.788993,1.509352,-0.789407,2.445823,1.841138,0.532396,-0.795021,1.550767,-0.291573,-0.870015,1.496594,-0.324508,1.050121,2.586329,1.704657,1.123093,2.549679,1.691602,1.043467,2.586816,1.81328,2.449795,1.763104,0.511957,2.387769,1.830376,0.660182,1.696136,1.640216,-0.866419,-0.925613,1.493434,-0.206321
463,3.858333,1.831851,1.608941,-0.77263,1.795001,1.508465,-0.782727,2.447268,1.841627,0.540792,-0.794158,1.550514,-0.288317,-0.869757,1.496856,-0.321087,1.046291,2.585577,1.709875,1.119494,2.549233,1.696973,1.03994,2.586262,1.818651,2.450824,1.763689,0.519807,2.38777,1.830362,0.667811,1.701681,1.639298,-0.859347,-0.925247,1.494295,-0.203052
464,3.866667,1.83746,1.608292,-0.765464,1.800891,1.507661,-0.775783,2.448289,1.841917,0.548861,-0.793558,1.550181,-0.285342,-0.869442,1.497264,-0.318057,1.042487,2.585157,1.715403,1.1157,2.548918,1.702224,1.036826,2.585842,1.824438,2.451568,1.764194,0.52737,2.387548,1.830101,0.67523,1.707251,1.638463,-0.852198,-0.924626,1.49523,-0.199484
465,3.875,1.842991,1.607681,-0.758406,1.806749,1.50703,-0.768793,2.448702,1.842094,0.556621,-0.79286,1.550581,-0.282425,-0.869495,1.497481,-0.314715,1.038805,2.58502,1.721115,1.111907,2.548741,1.707421,1.03377,2.585491,1.83019,2.45207,1.764468,0.534831,2.387134,1.829766,0.682512,1.712663,1.637543,-0.845177,-0.924283,1.496572,-0.196304
